Metabolite,NPC.superclass,NPC.class,NPC.pathway,ClassyFire.superclass,ClassyFire.class,ClassyFire.subclass,ClassyFire.level.5
2520,Small peptides,Aminoacids,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
2530,Small peptides,Pyrrole alkaloids,Alkaloids,Benzenoids,Benzene and substituted derivatives,NA,NA
2559,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
2548,Coumarins,Simple coumarins,Alkaloids,Organic nitrogen compounds,Organonitrogen compounds,N-arylamides,N-acetylarylamines
2551,Nicotinic acid alkaloids,Pyridine alkaloids,Alkaloids,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,NA
2556,Saccharides,Disaccharides,Carbohydrates,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Sugar acids and derivatives
2587,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
2506,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
2650,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
2683,Lysine alkaloids,Primary amides,Alkaloids,Organic acids and derivatives,Carboxylic acids and derivatives,NA,NA
2675,Small peptides,Aminoacids,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
2471,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
2754,Tyrosine alkaloids,Phenylethylamines,Alkaloids,Organic oxygen compounds,Organooxygen compounds,Ethers,Alkyl aryl ethers
2603,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
2799,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
3041,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
2830,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
3295,Fatty amides,Primary amides,Alkaloids,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
2739,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
3121,Tryptophan alkaloids,Simple amide alkaloids,Alkaloids,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
2896,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
2827,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
2852,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
3028,Fatty Acids and Conjugates,Wax monoesters,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
2959,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
2976,Linear polyketides,Open-chain polyketides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
3309,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
2507,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
2588,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
2958,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
3273,Phenolic acids (C6-C1),Simple phenolic acids,Shikimates and Phenylpropanoids,Benzenoids,Benzene and substituted derivatives,Benzoyl derivatives,NA
2814,Small peptides,Phenylalanine-derived alkaloids,Shikimates and Phenylpropanoids,Organic nitrogen compounds,Organonitrogen compounds,Amines,Primary amines
2741,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
3262,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
3070,Linear polyketides,Pyrrolizidine alkaloids,Alkaloids,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,NA
3155,Monoterpenoids,Pinane monoterpenoids,Terpenoids,Benzenoids,Benzene and substituted derivatives,NA,NA
2937,Pseudoalkaloids (transamidation),Purine alkaloids,Alkaloids,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Xanthines
2727,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
2704,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
3099,Nucleosides,Purine nucleos(t)ides,Carbohydrates,"Nucleosides, nucleotides, and analogues",Purine nucleosides,NA,NA
2948,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
2769,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
2960,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
2646,Small peptides,Simple amide alkaloids,Alkaloids,Benzenoids,Benzene and substituted derivatives,N-phenylureas,NA
2933,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
3198,Aminosugars and aminoglycosides,Aminosugars,Alkaloids,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
3042,Small peptides,Polyamines,Amino acids and Peptides,Organic acids and derivatives,Organic sulfuric acids and derivatives,NA,NA
3081,Anthranilic acid alkaloids,Quinoline alkaloids,Alkaloids,Organoheterocyclic compounds,Azoles,Pyrazoles,Phenylpyrazoles
3034,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
2755,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
3283,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
3194,Fatty esters,Lactones,Fatty acids,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,NA
3244,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
3438,Pseudoalkaloids,pteridine alkaloids,Alkaloids,Organoheterocyclic compounds,Pteridines and derivatives,Alloxazines and isoalloxazines,Flavins
3108,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
3112,Glycerolipids,Monoacylglycerols,Fatty acids,Organic oxygen compounds,Organooxygen compounds,Ethers,Dialkyl ethers
3217,Small peptides,Aminoacids,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
3094,Glycerolipids,Monoacylglycerols,Fatty acids,Organic oxygen compounds,Organooxygen compounds,Ethers,Dialkyl ethers
3205,Monoterpenoids,Simple amide alkaloids,Alkaloids,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
3229,Pseudoalkaloids,Marine-bacterial DPEs,Alkaloids,Organoheterocyclic compounds,Heteroaromatic compounds,NA,NA
3334,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
3178,Coumarins,Simple coumarins,Shikimates and Phenylpropanoids,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
3218,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
3120,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
3394,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
3521,Glycerolipids,Monoacylglycerols,Fatty acids,Organic oxygen compounds,Organooxygen compounds,Ethers,Dialkyl ethers
3368,Lysine alkaloids,Piperidine alkaloids,Alkaloids,Organoheterocyclic compounds,Azacyclic compounds,NA,NA
3449,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
3313,Ornithine alkaloids,Polyamines,Alkaloids,Organic nitrogen compounds,Organonitrogen compounds,Amines,Alkanolamines
3199,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
3499,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
3569,Peptide alkaloids,Simple amide alkaloids,Alkaloids,Benzenoids,Benzene and substituted derivatives,Anilides,NA
3547,Anthranilic acid alkaloids,Quinoline alkaloids,Alkaloids,Organoheterocyclic compounds,Azoles,Pyrazoles,Phenylpyrazoles
3588,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
3513,Anthranilic acid alkaloids,Quinoline alkaloids,Alkaloids,Organoheterocyclic compounds,Azoles,Pyrazoles,Phenylpyrazoles
3658,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
3636,Peptide alkaloids,Simple amide alkaloids,Fatty acids,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,N-acyl amines
3467,Fatty acyls,Fatty alcohols,Fatty acids,Lipids and lipid-like molecules,Fatty Acyls,NA,NA
3651,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
3652,Pseudoalkaloids (transamidation),Purine alkaloids,Alkaloids,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Xanthines
3708,Anthranilic acid alkaloids,Quinoline alkaloids,Alkaloids,Organoheterocyclic compounds,Azoles,Pyrazoles,Phenylpyrazoles
3747,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
3776,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
3800,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
3743,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
3714,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
3804,Fatty acyls,Linear peptides,Amino acids and Peptides,Organic nitrogen compounds,Organonitrogen compounds,NA,NA
3763,Aminosugars and aminoglycosides,Aminosugars,Alkaloids,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Disaccharides
3744,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
3742,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
3751,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
3713,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
3469,Glycerolipids,Monoacylglycerols,Fatty acids,Organic oxygen compounds,Organooxygen compounds,Ethers,Dialkyl ethers
3812,Pseudoalkaloids,Phenylalanine-derived alkaloids,Alkaloids,Benzenoids,Benzene and substituted derivatives,Phenylmethylamines,NA
3834,Glycerolipids,Monoacylglycerols,Fatty acids,Lipids and lipid-like molecules,Glycerolipids,Glycerol ethers,NA
3822,Glycerolipids,Monoacylglycerols,Fatty acids,Organic oxygen compounds,Organooxygen compounds,Ethers,Dialkyl ethers
4013,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
4223,Glycerolipids,Monoacylglycerols,Fatty acids,Organic oxygen compounds,Organooxygen compounds,Ethers,Dialkyl ethers
4142,Small peptides,Dipeptides,Alkaloids,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
4183,Glycerolipids,Monoacylglycerols,Fatty acids,Organic oxygen compounds,Organooxygen compounds,Ethers,Dialkyl ethers
4226,Anthranilic acid alkaloids,Quinoline alkaloids,Alkaloids,Organoheterocyclic compounds,Azoles,Pyrazoles,Phenylpyrazoles
4276,Glycerolipids,Monoacylglycerols,Fatty acids,Organic oxygen compounds,Organooxygen compounds,Ethers,Dialkyl ethers
4425,Glycerolipids,Monoacylglycerols,Fatty acids,Organic oxygen compounds,Organooxygen compounds,Ethers,Dialkyl ethers
4263,Oligopeptides,Lipopeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
4277,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
4391,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
4416,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
4583,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
4533,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
4371,Oligopeptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
4536,Small peptides,Linear peptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
4514,Small peptides,Aminoacids,Fatty acids,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
4638,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
4586,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
4603,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
4659,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
4784,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
4725,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
4693,Ornithine alkaloids,Polyamines,Alkaloids,Benzenoids,Benzene and substituted derivatives,NA,NA
4738,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
4731,Tryptophan alkaloids,Simple indole alkaloids,Alkaloids,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
4874,Glycerolipids,Monoacylglycerols,Fatty acids,Organic oxygen compounds,Organooxygen compounds,Ethers,Dialkyl ethers
4565,Glycerolipids,Monoacylglycerols,Fatty acids,Organic oxygen compounds,Organooxygen compounds,Ethers,Dialkyl ethers
4822,Small peptides,Open-chain polyketides,Amino acids and Peptides,Lipids and lipid-like molecules,Steroids and steroid derivatives,NA,NA
4905,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
4990,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
4946,Anthranilic acid alkaloids,Simple indole alkaloids,Alkaloids,Organoheterocyclic compounds,Pyrrolothiazoles,NA,NA
5052,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
5149,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
5109,Small peptides,Aminoacids,Amino acids and Peptides,Lipids and lipid-like molecules,NA,NA,NA
5146,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
4952,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
5183,Small peptides,Polyamines,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
4943,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
5090,Oligopeptides,Cyclic peptides,Amino acids and Peptides,Phenylpropanoids and polyketides,Macrolactams,NA,NA
4974,Tryptophan alkaloids,Simple amide alkaloids,Alkaloids,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
5277,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
5268,Pseudoalkaloids,Marine-bacterial DPEs,Alkaloids,Organic acids and derivatives,Organic thiophosphoric acids and derivatives,Thiophosphoric acid esters,Aryl thiophosphates
5120,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
5309,Oligopeptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
5311,Small peptides,Linear peptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
5329,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
5293,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
5435,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
5173,Oligopeptides,Cyclic peptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
5380,Oligopeptides,Linear peptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
5566,Small peptides,Linear peptides,Amino acids and Peptides,Organosulfur compounds,Thioacetals,Dithioacetals,NA
4989,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
5521,Glycerolipids,Monoacylglycerols,Fatty acids,Organic oxygen compounds,Organooxygen compounds,Ethers,Dialkyl ethers
6016,Glycerolipids,Monoacylglycerols,Fatty acids,Organic oxygen compounds,Organooxygen compounds,Ethers,Dialkyl ethers
5524,Glycerolipids,Monoacylglycerols,Fatty acids,Organic oxygen compounds,Organooxygen compounds,Ethers,Dialkyl ethers
5300,Tryptophan alkaloids,Simple indole alkaloids,Alkaloids,Benzenoids,Benzene and substituted derivatives,NA,NA
5402,Glycerolipids,Monoacylglycerols,Fatty acids,Organic oxygen compounds,Organooxygen compounds,Ethers,Dialkyl ethers
5507,Small peptides,Aminoacids,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
5439,Glycerolipids,Monoacylglycerols,Fatty acids,Organic oxygen compounds,Organooxygen compounds,Ethers,Dialkyl ethers
5080,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
5456,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
5676,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
5378,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
5481,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
5531,Oligopeptides,Depsipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
5563,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
5743,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
5308,Ornithine alkaloids,Polyamines,Alkaloids,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
5408,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
5535,Oligopeptides,Cyclic peptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
5749,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
5734,Pseudoalkaloids,Phenazine alkaloids,Alkaloids,Organoheterocyclic compounds,Azoles,NA,NA
5669,Pseudoalkaloids,Glycerophosphoethanolamines,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
5679,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
6024,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
5880,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
5817,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
5825,Small peptides,Cyclic peptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
5934,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
5655,Anthranilic acid alkaloids,Simple indole alkaloids,Alkaloids,Benzenoids,NA,NA,NA
5654,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
5877,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
5986,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
5953,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
5688,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
6001,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
5932,Oligopeptides,Linear peptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
5895,Glycerolipids,Monoacylglycerols,Fatty acids,Organic oxygen compounds,Organooxygen compounds,Ethers,Dialkyl ethers
5970,Fatty acyls,Fatty alcohols,Fatty acids,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols,NA
6128,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
5778,Oligopeptides,Cyclic peptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
6125,Ornithine alkaloids,Polyamines,Alkaloids,Organic acids and derivatives,Dithiocarbamic acids and derivatives,Dithiocarbamic acid esters,Ethylene bisdithiocarbamates
5831,Glycerolipids,Monoacylglycerols,Fatty acids,Organic oxygen compounds,Organooxygen compounds,Ethers,Dialkyl ethers
6189,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
6153,Polycyclic aromatic polyketides,Anthraquinones and anthrones,Alkaloids,Benzenoids,Naphthalenes,NA,NA
6230,Glycerolipids,Monoacylglycerols,Fatty acids,Organic oxygen compounds,Organooxygen compounds,Ethers,Dialkyl ethers
5666,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
6140,Glycerolipids,Monoacylglycerols,Fatty acids,Organic oxygen compounds,Organooxygen compounds,Ethers,Dialkyl ethers
